,State,Country,Last Update,Lat,Long,Confirmed,Recovered,Deaths,Active
67,Tocantins,Brazil,2021-04-24 09:20:58,-10.1753,-48.2982,155939,137045,2440,16454
68,,Brunei,2021-04-24 09:20:58,4.5353,114.7277,223,210,3,10
69,,Bulgaria,2021-04-24 09:20:58,42.7339,25.4858,396302,323877,15826,56599
70,,Burkina Faso,2021-04-24 09:20:58,12.2383,-1.5616,13231,12887,156,188
71,,Burma,2021-04-24 09:20:58,21.9162,95.956,142687,131921,3206,7560
72,,Burundi,2021-04-24 09:20:58,-3.3731,29.9189,3759,773,6,2980
73,,Cabo Verde,2021-04-24 09:20:58,16.5388,-23.0418,21784,18959,201,2624
74,,Cambodia,2021-04-24 09:20:58,11.55,104.9167,8848,3148,61,5639
75,,Cameroon,2021-04-24 09:20:58,3.848,11.5021,65998,35261,991,29746
76,Alberta,Canada,2021-04-24 09:20:58,53.9333,-116.5765,178777,157272,2059,19446
77,British Columbia,Canada,2021-04-24 09:20:58,53.7267,-127.6476,123758,113139,1554,9065
78,Diamond Princess,Canada,2020-12-21 13:27:30,,,0,0,1,0
79,Grand Princess,Canada,2020-12-21 13:27:30,,,13,13,0,0
80,Manitoba,Canada,2021-04-24 09:20:58,53.7609,-98.8139,37069,34366,964,1739
81,New Brunswick,Canada,2021-04-24 09:20:58,46.5653,-66.4619,1839,1656,34,149
82,Newfoundland and Labrador,Canada,2021-04-24 09:20:58,53.1355,-57.6604,1053,1020,6,27
83,Northwest Territories,Canada,2021-04-24 09:20:58,64.8255,-124.8457,54,49,0,5
84,Nova Scotia,Canada,2021-04-24 09:20:58,44.682,-63.7443,1938,1721,67,150
85,Nunavut,Canada,2021-04-24 09:20:58,70.2998,-83.1076,441,400,4,37
86,Ontario,Canada,2021-04-24 09:20:58,51.2538,-85.3232,445407,400089,7849,37469
87,Prince Edward Island,Canada,2021-04-24 09:20:58,46.5107,-63.4168,175,164,0,11
